Code,GroupCount,mean_Hoechst1,mean_Hoechst2,mean_Hoechst3,mean_Hoechst4,mean_Hoechst5,mean_Hoechst6,mean_Hoechst7,mean_A488,mean_HER2_TF,mean_PR_488,mean_Ki67,mean_CD45,mean_p53_FITC,mean_CD68,mean_A555,mean_TP53BP1,mean_ER_PE,mean_HER2_PE,mean_KERATIN,mean_PDL1_555,mean_pRB,mean_A647,mean_p53_DAKO,mean_PR_647,mean_AR_647,mean_p53_647,mean_HER2_647,mean_PDL1_647,mean_AREA,mean_CIRC,mean_X,mean_Y,mean_frame,mean_COL,mean_ROW,mean_Xt,mean_Yt,mean_HER2_TFp,mean_PR_488p,mean_Ki67p,mean_CD45p,mean_CD68p,mean_ER_PEp,mean_HER2_PEp,mean_KERATINp,mean_pRBp,mean_p53_DAKOp,mean_AR_647p,mean_p53_647p,mean_HER2_647p,mean_PDL1_647p,mean_KERATINpER_PEp,mean_KERATINpPR_488p,mean_KERATINpHER2_TFp,mean_KERATINpHER2_647p,mean_KERATINpKi67p,mean_KERATINppRBp,mean_KERATINpp53_DAKOp,mean_KERATINpp53_647p,mean_ER_PEpKi67p,mean_PR_488pKi67p,mean_HER2_TFpKi67p,mean_HER2_TFpER_PEp,mean_HER2_TFpPR_488p,mean_ER_PEpPR_488p,mean_ROI,mean_group,mean_TN,mean_PR_,mean_ER_,mean_PR_ER_,mean_HER2_,mean_HER2_PR_,mean_HER2_ER_,mean_HER2_ER_PR_,mean_UMAP1,mean_UMAP2,mean_tSNE1,mean_tSNE2,mean_EMGM10,mean_EMGM9,mean_EMGM8,mean_EMGM7,tSNE_score,mean_EMGM7_1,mean_EMGM7_2,mean_EMGM7_3,mean_EMGM7_4,mean_EMGM7_5,mean_EMGM7_6,mean_EMGM7_7,GMM_score
Her2-1,5270,8.53165214894627,8.69078115591047,8.94556985158993,8.52229389111573,8.94280237008722,9.07373053519608,9.00322901318349,6.05431205413928,5.75938783285517,6.7719241415408,6.18244669675943,6.1633424471296,5.82455623882704,5.9001168628462,4.9931123789395,8.36828059744329,6.25136843192488,6.37310719563295,5.98749525759717,5.32312393411897,5.49413506432502,5.61757045423835,7.34145620352911,5.17791383460545,5.55270746052512,5.78634840163715,5.20709305413155,4.20965714374245,88.6243918406073,0.859457874762809,478.422698481973,349.594050664136,528.307020872865,15.2394686907021,24.3212523719165,12094.2692829222,15659.9962328273,0.0032258064516129,0.00512333965844402,0.0759013282732448,0.00094876660341556,0.0015180265654649,0.341176470588235,0.0394686907020873,0.812333965844402,0.130740037950664,0.00189753320683112,0.00170777988614801,0.00227703984819734,0.0402277039848197,0.0047438330170778,0.329601518026565,0.0047438330170778,0.00208728652751423,0.0394686907020873,0.0685009487666034,0.121062618595825,0.0015180265654649,0.000759013282732448,0.0314990512333966,0.000189753320683112,0.000379506641366224,0.00189753320683112,0,0.00189753320683112,5.07779886148008,1.84838709677419,0,0.0032258064516129,0.309108159392789,0.00189753320683112,0.0100569259962049,0,0.0301707779886148,0,-0.456285842885572,2.3914722679119,0.248595572944315,-4.28425592630573,5.83870967741935,5.97096774193548,2.64421252371916,4.47571157495256,8.07206501434117,0.0802656546489564,0,0.0261859582542694,0.6426944971537,0.0510436432637571,0.0954459203036053,0.104364326375712,0.487376249824249
Her2-10,567,8.04711750413483,8.83319286375913,8.55073626238446,8.12049794801236,8.50156725752608,8.57053397713864,8.43282779431458,6.87325321365156,6.66787574400762,6.92054347443763,6.21420370536638,6.10384196503432,5.85843666234354,5.95072076425536,5.45942600416065,9.22258583637123,5.96711002878897,6.94000659811509,5.07448595710992,5.55489665312441,5.35320244773313,6.52175614384242,8.08135573696396,5.83140571518819,6.08591908715583,6.37503030046053,5.38828261681367,4.56645573581565,79.9272574955909,0.806114638447972,540.077862433862,323.293562610229,487.379188712522,5.86243386243386,22.8871252204586,4506.60828571429,14692.1912698413,0.236331569664903,0.0105820105820106,0.0599647266313933,0,0.017636684303351,0.0582010582010582,0.292768959435626,0.215167548500882,0.0670194003527337,0.437389770723104,0.132275132275132,0.109347442680776,0.17989417989418,0.125220458553792,0.0335097001763668,0.0105820105820106,0.202821869488536,0.17989417989418,0.0476190476190476,0.0564373897707231,0.130511463844797,0.0987654320987654,0.00705467372134039,0,0.0476190476190476,0.037037037037037,0.0105820105820106,0.0105820105820106,31.2839506172839,1.84656084656085,0,0,0.0264550264550265,0,0.148148148148148,0,0.0211640211640212,0.0105820105820106,-1.30263550247289,-0.81414778015087,-2.84889535548846,3.32906628283881,6.12345679012346,6.61022927689594,5.70723104056437,5.55731922398589,8.64654944750441,0.0264550264550265,0.0123456790123457,0.192239858906526,0.0634920634920635,0.169312169312169,0.536155202821869,0,0.391817747035112
Her2-101,3563,9.03348748137425,8.83558170351005,9.06435182760199,8.90035165923157,9.16993727686638,9.122310400617,9.0810300015247,6.5864101482128,7.30511203664355,6.78841148585723,6.44954400828486,5.76575023480818,5.5153273352838,5.71188437798138,5.23580521966171,7.66162098821333,5.53479923517613,6.58277830223732,6.35166258695146,5.0727657885349,4.95989455147159,6.09392321272946,7.45139103590685,6.07306662097724,6.64452802764071,5.67147772344167,6.25261902008803,4.5807651626456,106.960463654224,0.814142576480495,294.456973898401,338.216439797923,459.953410047713,18.210777434746,22.0353634577603,14322.9616609599,14106.9135910749,0.697165310131911,0.019927027785574,0.191411731686781,0.000841987089531294,0.0280662363177098,0.0196463654223969,0.408925063149032,0.724670221723267,0.0140331181588549,0.0244176255964075,0.545607634016278,0.00617457198989615,0.593039573393208,0.248386191411732,0.0196463654223969,0.0196463654223969,0.650014033118159,0.554869492001123,0.185798484423239,0.0129104687061465,0.0109458321639068,0.00589390962671906,0.00701655907942745,0.00589390962671906,0.173449340443447,0.0179623912433343,0.0196463654223969,0.00533258490036486,1.74571989896155,3.4313780522032,0,0.00196463654223969,0.00954252034802133,0.000841987089531294,0.571147909065394,0.0126298063429694,0.00477126017401067,0.00449059781083357,1.14358610590412,-2.10137267646588,6.0355988393163,-1.79691470647777,3.59500420993545,3.23351108616335,5.00112264945271,2.70362054448498,10.4327010804866,0.0763401627841706,0.526522593320236,0.0303115352231266,0.145383104125737,0.0682009542520348,0.152119000841987,0.00112264945270839,0.498988541464905
Her2-103,564,8.85037690231557,9.02989958852897,9.13947411001706,8.95484446553334,9.22323797279101,9.18965590687787,9.14746419728087,7.02986973220772,6.29586518352503,7.82389500811708,6.36937426525172,6.45563254464,6.14755206876885,6.35875410403029,5.90575095839701,8.73273776219296,6.34517239342177,6.81652134576733,6.39510122342469,5.47694258863315,5.45800564578699,6.08263533915653,7.71393775925702,7.30439526821489,6.15046200223432,5.6779803204119,4.87576947676836,4.29082651043594,89.5680141843971,0.812125886524823,246.105040780142,395.034560283688,471.460992907801,9.5354609929078,22.9964539007092,7203.35929609929,14792.8134609929,0.113475177304965,0.553191489361702,0.0407801418439716,0.0531914893617021,0.113475177304965,0.359929078014184,0.384751773049645,0.75177304964539,0.0585106382978723,0.0921985815602837,0.195035460992908,0.0195035460992908,0.0283687943262411,0.0514184397163121,0.352836879432624,0.542553191489362,0.109929078014184,0.0283687943262411,0.0372340425531915,0.0531914893617021,0.0815602836879433,0.0159574468085106,0.0336879432624113,0.0283687943262411,0.0336879432624113,0.101063829787234,0.0780141843971631,0.326241134751773,10.3599290780142,2.38652482269504,0,0.223404255319149,0.0336879432624113,0.301418439716312,0,0.00354609929078014,0,0.024822695035461,-0.54255463874941,2.31578891068013,-9.99256058887284,9.29259289820984,6.95921985815603,4.7322695035461,3.93617021276596,5.78900709219858,17.4060209525369,0.00177304964539007,0.00709219858156028,0.136524822695035,0.161347517730496,0.0141843971631206,0.106382978723404,0.572695035460993,0.460511144621702
Her2-104,1948,8.79547833131137,8.93055735822811,8.92098992193804,8.68536077766084,9.01202508585821,8.9681415970122,8.84907401763069,6.61383811435795,5.80183937581854,7.11614667204922,6.38167307371905,5.93675105429388,5.72036680812476,5.8408596543994,5.28655286540988,8.13930007336885,5.77525658316197,5.75244922659525,7.14562613225687,5.22025475246545,5.08142941571574,6.23575217162216,7.25784173325602,5.43605693918683,6.21158760929498,6.0898217994458,4.91535072879365,4.16625649592384,101.133253593429,0.860595995893221,352.486362936346,329.910526694045,432.988706365503,18.1632443531828,20.7535934291581,14342.2468352156,13259.6251057495,0.0107802874743326,0.0451745379876797,0.138090349075975,0.00205338809034908,0.0220739219712526,0.0231006160164271,0.00308008213552361,0.771560574948665,0.0148870636550308,0.00154004106776181,0.275667351129363,0.0497946611909651,0.00154004106776181,0.0246406570841889,0.0225872689938398,0.0446611909650924,0.0102669404517454,0.00154004106776181,0.114476386036961,0.0102669404517454,0.00102669404517454,0.0220739219712526,0.00718685831622177,0.00770020533880903,0.00256673511293634,0.00462012320328542,0.00462012320328542,0.0138603696098563,19.8331622176591,1.09753593429158,0,0.0313141683778234,0.00924024640657084,0.0128336755646817,0.000513347022587269,0,0,0.00102669404517454,0.483430197212146,-0.638917551531312,1.47406626599994,-3.13048420817344,4.97535934291581,4.65554414784394,4.1088295687885,3.91478439425051,12.1231024009628,0.102156057494867,0.219712525667351,0.102669404517454,0.107802874743326,0.20482546201232,0.229979466119097,0.0328542094455852,0.231145469648906
Her2-106,5434,9.01651643317523,8.80050003685912,9.14664230268298,9.05544640144158,9.23940186477721,9.23680607028396,9.22510066695499,6.83039106490794,6.01835994315674,7.54387716739081,6.455662929207,6.19027033675947,5.94419381466597,6.10392689762044,5.52213770298174,7.68625823323892,6.48802269753213,5.82102680002551,6.43647940511361,5.2771571631909,5.17162373727213,6.31597611949212,7.32955964303159,6.10044588734791,6.50679253672237,5.6701832562855,4.86834808420946,4.25408336763931,95.9504359587783,0.822642436510858,449.465503864555,340.075568457858,438.644092749356,11.4135075450865,21.3443135811557,8937.51550386456,13656.4460230033,0.027972027972028,0.280272359219728,0.126426205373574,0.00202429149797571,0.0312845049687155,0.484173721015826,0.00257637099742363,0.911299227088701,0.00294442399705558,0.00993743099006257,0.40541037909459,0.0169304379830696,0.00239234449760766,0.0325726904674273,0.469083548030916,0.259109311740891,0.027788001472212,0.00239234449760766,0.118513065881487,0.0027603974972396,0.00846521899153478,0.0158262789841737,0.0785793154214207,0.0334928229665072,0.0106735369893265,0.0241074714758925,0.0147221199852779,0.190835480309165,25.9624585940375,2.25818917924181,0,0.0894368789105631,0.29297018770703,0.189363268310637,0.000552079499447921,0,0.000368052999631947,0.00147221199852779,-0.429729775464129,0.74332953814684,-1.3514705163832,5.62085876381445,6.85995583364004,4.39105631210894,2.76334192123666,4.30603606919396,12.1022934070732,0.000736105999263894,0.41682002208318,0.027603974972396,0.0180345969819654,0.171512697828487,0.0979020979020979,0.26739050423261,0.413943763050273
Her2-107,840,8.64792944125414,8.91976273909576,8.87070118266609,8.62137113649528,8.94358255244241,8.85184633567764,8.73147531690069,7.25380198838106,6.67073765620982,6.93735345952194,6.48292287481738,6.36353327896407,6.07046486979189,6.20319768466851,5.84803017971594,8.6695403623363,5.96766971228918,6.29989375455852,5.75399730427209,5.51395063865297,5.30512048601382,6.58904995324474,7.69259721745096,5.68757945814564,6.21251921416411,5.84296211791344,5.33487957341556,4.40337567804698,87.5779678571428,0.839371428571428,283.813363095238,358.837505952381,439.352380952381,9.67738095238095,21.4607142857143,7356.74657738096,13751.3980416667,0.360714285714286,0.00238095238095238,0.094047619047619,0,0.0119047619047619,0.0642857142857143,0.0690476190476191,0.523809523809524,0.00357142857142857,0.0416666666666667,0.294047619047619,0.00119047619047619,0.236904761904762,0.0761904761904762,0.0583333333333333,0.00238095238095238,0.320238095238095,0.235714285714286,0.0833333333333333,0.00238095238095238,0.0273809523809524,0,0.00952380952380952,0,0.0523809523809524,0.0607142857142857,0.00238095238095238,0.00119047619047619,28.1297619047619,2.07857142857143,0,0,0.0107142857142857,0,0.182142857142857,0.00119047619047619,0.0523809523809524,0.00119047619047619,-0.510586185286635,-0.0553782330346646,-3.181072722063,3.0943414040537,5.28571428571429,5.39880952380952,4.9,3.61547619047619,7.75928241366839,0.0488095238095238,0.114285714285714,0.16547619047619,0.360714285714286,0.0285714285714286,0.270238095238095,0.0119047619047619,0.24068506396536
Her2-108,4883,9.0125302790473,8.9438894831898,9.12486627195388,9.11700960603534,9.28840879973209,9.26179792520826,9.30696734109596,6.28741455965914,6.02515660555989,6.68130494342749,6.1711049732959,5.96653728674866,6.03701386725661,5.86820036020049,4.98689972288035,7.45631187481383,5.45048713534842,5.93795821238114,4.64739282778185,5.16276607797012,5.53383560965632,5.68017970234553,7.73367873191918,5.09537324148828,5.61474104958452,7.08476088391276,5.34335819987419,4.23925458030525,95.143742371493,0.848687896784765,493.856721687489,345.009698545976,432.098505017407,5.21318861355724,21.3278722097071,3928.02676059799,13650.6184534098,0.0927708375998362,0.00143354495187385,0.0841695678885931,0.000409584271963957,0.00430063485562154,0.00204792135981978,0.0858079049764489,0.254147040753635,0.159942658201925,0.28056522629531,0.0315379889412247,0.36125332787221,0.285480237558878,0.05693221380299,0.000409584271963957,0.00122875281589187,0.0518124104034405,0.195986074134753,0.0382961294286299,0.0776162195371698,0.176326029080483,0.230595945115708,0.000819168543927913,0.00122875281589187,0.0106491910710629,0.000614376407945935,0.00143354495187385,0.000614376407945935,31.9576080278517,2.14745033790702,0,0,0.00143354495187385,0.000204792135981978,0.284251484742986,0.000819168543927913,0,0.000409584271963957,-3.01021741959374,0.000786815716670815,-4.17502438484617,2.10330949265801,6.03215236534917,6.13045259062052,5.65205816096662,5.37313127175916,14.4750963193247,0.0307188203972967,0,0.319066147859922,0.0323571574851526,0.38193733360639,0.235920540651239,0,0.394346763326753
Her2-11,2152,8.4096273495619,8.92782289575502,8.82881318465144,8.46181698483644,8.79761716057136,8.87833662916076,8.79513068168917,6.65279050350372,5.97485248640288,6.847408951576,6.06699912446468,6.18028111727535,5.92412586788909,5.98758065508958,5.50838715822044,8.72272078318822,6.40099144224679,6.39439605209314,6.12258821171744,5.44592751426041,5.26372394798162,5.7926033800916,7.66458037156332,5.53210705916568,6.8697529245828,6.43434616627648,4.92214626986967,4.30244003490637,85.3022625464683,0.825685408921933,438.355195631971,340.412624535315,475.235130111524,2.52137546468401,22.4869888475836,1679.41723094795,14446.620802974,0.0148698884758364,0.0288104089219331,0.0130111524163569,0.00604089219330855,0.0139405204460967,0.455390334572491,0.0548327137546468,0.54135687732342,0.0195167286245353,0.103159851301115,0.493959107806691,0.214219330855019,0.00278810408921933,0.0218401486988848,0.441914498141264,0.0283457249070632,0.012546468401487,0.00185873605947955,0.0111524163568773,0.016728624535316,0.0627323420074349,0.20724907063197,0.0102230483271375,0,0.000929368029739777,0.012546468401487,0,0.0274163568773234,34.9289033457249,1.95074349442379,0,0.00139405204460967,0.426115241635688,0.0274163568773234,0.000929368029739777,0,0.00185873605947955,0,1.4490728986869,-0.707498971484782,-6.16516367799249,-2.11628601544899,4.36524163568773,4.6064126394052,4.45120817843866,3.84990706319703,17.0530222926815,0.00882899628252788,0.288568773234201,0.0868959107806691,0.414498141263941,0.00232342007434944,0.0585501858736059,0.140334572490706,0.339514966670967
Her2-110,908,9.24807126267075,9.05340027496213,9.14845840089943,9.13599530573597,9.30109549959142,9.32272975368709,9.2905612312509,6.45909782027579,5.74259578530559,6.96107640649499,5.93433855795683,5.86163630259064,5.70318623976304,5.75880821376081,5.2873998336892,7.72514440611407,6.36847646174223,5.85601865771453,6.4394675752393,5.16876700706374,5.2397760788822,5.70710239854962,7.44244499490428,4.87251028983194,6.72999034293333,5.41285629307002,4.95383742354302,4.10827002332033,115.571689427313,0.853063876651983,417.727593612335,353.436622246697,404.136563876652,17.2323788546256,19.4240088105727,13648.7395980176,12412.871589207,0.0110132158590308,0.0066079295154185,0.0110132158590308,0,0.00330396475770925,0.448237885462555,0.013215859030837,0.765418502202643,0.0209251101321586,0.079295154185022,0.587004405286344,0.00110132158590308,0.00991189427312775,0.0198237885462555,0.42511013215859,0.00550660792951542,0.0066079295154185,0.0066079295154185,0.00330396475770925,0.0165198237885463,0.0385462555066079,0.00110132158590308,0.0066079295154185,0,0,0.00770925110132159,0.00330396475770925,0.0066079295154185,38.7676211453744,1.94273127753304,0,0,0.43942731277533,0.00440528634361234,0.00550660792951542,0,0.00220264317180617,0.00220264317180617,0.25882537520391,-1.73891223719722,3.18392014767319,-1.56519657576655,6.19052863436123,4.15969162995595,3.3226872246696,2.85242290748899,12.2293995858936,0.0275330396475771,0.569383259911894,0.153083700440529,0.131057268722467,0.0176211453744493,0.0947136563876652,0.0066079295154185,0.5061286133185
